VISIT_AREA_NM,VISIT_AREA_MAIN_TYPE,VISIT_COUNT,VISIT_REASON,RES_CAFE
허니문하우스,11,64,"[0.53125, 0.21875, 0.03125, 0.046875, 0.078125, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0625]",0
인디안썸머,11,11,"[0.0, 0.272727, 0.0, 0.181818, 0.363636, 0.090909, 0.0, 0.090909, 0.0, 0.0, 0.0]",0
물영아리,1,10,"[0.8, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1]",2
호텔아나타,24,9,"[0.111111, 0.777778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.111111]",2
올레마당,11,9,"[0.111111, 0.333333, 0.0, 0.111111, 0.111111, 0.111111, 0.0, 0.111111, 0.111111, 0.0, 0.0]",0
그러므로 파트2,11,6,"[0.166667, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.166667, 0.0, 0.0]",0
쇠소깍,1,78,"[0.589744, 0.051282, 0.012821, 0.179487, 0.076923, 0.012821, 0.0, 0.0, 0.038462, 0.0, 0.038462]",2
성이시돌목장,1,53,"[0.377358, 0.283019, 0.0, 0.075472, 0.075472, 0.018868, 0.0, 0.0, 0.169811, 0.0, 0.0]",0
올드패션,11,4,"[0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0]",0
문도지오름,1,19,"[0.473684, 0.315789, 0.052632, 0.0, 0.052632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.105263]",2
오는정김밥,11,57,"[0.280702, 0.22807, 0.017544, 0.403509, 0.035088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.035088]",0
사계해변,1,94,"[0.468085, 0.202128, 0.010638, 0.06383, 0.095745, 0.031915, 0.0, 0.0, 0.106383, 0.0, 0.021277]",2
곤밥2,11,7,"[0.0, 0.428571, 0.0, 0.0, 0.142857, 0.0, 0.0, 0.142857, 0.285714, 0.0, 0.0]",0
사려니숲길,1,63,"[0.492063, 0.174603, 0.015873, 0.15873, 0.079365, 0.0, 0.0, 0.0, 0.047619, 0.0, 0.031746]",2
풀베개,11,14,"[0.071429, 0.785714, 0.0, 0.071429, 0.071429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
서귀포치유의숲,1,34,"[0.294118, 0.176471, 0.0, 0.058824, 0.235294, 0.029412, 0.0, 0.0, 0.0, 0.058824, 0.147059]",2
함쉐프키친,11,7,"[0.0, 0.714286, 0.0, 0.142857, 0.142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
벙커하우스,11,7,"[0.571429, 0.142857, 0.0, 0.142857, 0.142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
엘리펀트힙,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
일도가공,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
숙성도 중문점,11,28,"[0.107143, 0.678571, 0.035714, 0.107143, 0.035714, 0.0, 0.0, 0.0, 0.035714, 0.0, 0.0]",0
데코보코,11,2,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]",0
제주중문관광단지,1,8,"[0.25, 0.125, 0.0, 0.0, 0.0, 0.125, 0.125, 0.0, 0.25, 0.0, 0.125]",2
스타벅스 제주노형점,11,13,"[0.0, 0.153846, 0.0, 0.0, 0.076923, 0.230769, 0.076923, 0.0, 0.307692, 0.0, 0.153846]",1
제주판타스틱버거,11,12,"[0.083333, 0.666667, 0.0, 0.083333, 0.166667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
우럭의숲,11,4,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
마마롱,11,3,"[0.0, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0]",1
이호테우해수욕장,1,178,"[0.589888, 0.050562, 0.011236, 0.11236, 0.050562, 0.067416, 0.0, 0.0, 0.095506, 0.0, 0.022472]",2
게스트하우스7,24,5,"[0.0, 0.4, 0.0, 0.0, 0.0, 0.2, 0.0, 0.2, 0.0, 0.0, 0.2]",2
제주곶서귀포해물라면,11,9,"[0.111111, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.222222, 0.0, 0.0]",0
서복공원,1,3,"[0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.666667, 0.0, 0.0]",2
쇠소깍전통나룻배 카약체험지점,13,15,"[0.533333, 0.2, 0.0, 0.2, 0.0, 0.0, 0.066667, 0.0, 0.0, 0.0, 0.0]",2
용연계곡,1,25,"[0.32, 0.08, 0.0, 0.16, 0.08, 0.08, 0.0, 0.0, 0.24, 0.0, 0.04]",2
제주동문재래야시장,4,59,"[0.542373, 0.050847, 0.0, 0.220339, 0.067797, 0.016949, 0.033898, 0.033898, 0.033898, 0.0, 0.0]",2
호텔화인 제주,24,14,"[0.0, 0.285714, 0.0, 0.214286, 0.071429, 0.0, 0.142857, 0.071429, 0.0, 0.0, 0.214286]",2
정방폭포,1,100,"[0.61, 0.04, 0.02, 0.14, 0.06, 0.05, 0.0, 0.0, 0.08, 0.0, 0.0]",2
제주팜엔피쉬,11,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
케렌시아카페,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",1
하와,11,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",0
소남머리,1,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
관덕정,2,11,"[0.363636, 0.0, 0.0, 0.090909, 0.090909, 0.090909, 0.0, 0.0, 0.272727, 0.090909, 0.0]",2
퐁당라면,11,11,"[0.090909, 0.545455, 0.0, 0.0, 0.181818, 0.090909, 0.0, 0.0, 0.090909, 0.0, 0.0]",0
자구리문화예술공원,1,13,"[0.153846, 0.0, 0.0, 0.230769, 0.0, 0.153846, 0.0, 0.0, 0.384615, 0.0, 0.076923]",2
하효쇠소깍해변,1,17,"[0.352941, 0.117647, 0.0, 0.117647, 0.058824, 0.058824, 0.0, 0.0, 0.235294, 0.0, 0.058824]",0
구피풋,4,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0]",2
새향원분식,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
쎈얼큰이 본점,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
다랑쉬,11,3,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
덕성원 본점,11,2,"[0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
천지연폭포,1,128,"[0.617188, 0.039062, 0.023438, 0.21875, 0.015625, 0.054688, 0.0, 0.0, 0.007812, 0.007812, 0.015625]",2
약천사,2,58,"[0.482759, 0.189655, 0.034483, 0.103448, 0.137931, 0.0, 0.0, 0.0, 0.034483, 0.0, 0.017241]",2
기흥어물,11,3,"[0.0, 0.666667, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
흑돼지자투리구이식당,11,2,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
수렌트카,10,13,"[0.0, 0.230769, 0.0, 0.153846, 0.0, 0.0, 0.076923, 0.384615, 0.0, 0.0, 0.153846]",2
CU 제주탑동로점,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",2
다이소 서귀포중문점,10,7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.142857, 0.142857, 0.142857, 0.571429, 0.0, 0.0]",2
초콜릿랜드,13,2,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]",2
코너스톤호텔,24,10,"[0.0, 0.3, 0.0, 0.0, 0.0, 0.3, 0.1, 0.3, 0.0, 0.0, 0.0]",2
남문주유소,10,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.333333, 0.0, 0.0, 0.333333]",2
맥도날드 제주중문DT점,11,20,"[0.0, 0.0, 0.0, 0.1, 0.0, 0.2, 0.0, 0.25, 0.45, 0.0, 0.0]",0
아프리카박물관,2,8,"[0.0, 0.25, 0.0, 0.0, 0.125, 0.25, 0.0, 0.0, 0.25, 0.125, 0.0]",2
제삼굽,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
앙뚜아네트 용담점,11,12,"[0.083333, 0.416667, 0.0, 0.0, 0.166667, 0.0, 0.0, 0.0, 0.166667, 0.0, 0.166667]",0
